ID,Genotype
0026603-C,UNL001
0026604-S,UNL001
0027150-S,UNL001
0027151-C,UNL001
25525,UNL001
25526,UNL001
26279,UNL001
26280,UNL001
023827-C,UNL001
023828-S,UNL001
024353-C,UNL001
024354-S,UNL001
0026684-S,UNL002
0026685-C,UNL002
25923,UNL002
25924,UNL002
023699-C,UNL002
023700-S,UNL002
0026757-S,UNL003
0026758-C,UNL003
0027130-S,UNL003
0027131-C,UNL003
25507,UNL003
25508,UNL003
25983,UNL003
25984,UNL003
023609-C,UNL003
023610-S,UNL003
024153-C,UNL003
024154-S,UNL003
0026423-S,UNL004
0026424-C,UNL004
0027197-C,UNL004
0027198-S,UNL004
25715,UNL004
25716,UNL004
26222,UNL004
26223,UNL004
023785-C,UNL004
023786-S,UNL004
024075-C,UNL004
024076-S,UNL004
0026567-S,UNL005
0026568-C,UNL005
26022,UNL005
26023,UNL005
024315-S,UNL005
024316-C,UNL005
0026597-C,UNL006
0026598-S,UNL006
0026912-C,UNL006
0026913-S,UNL006
25659,UNL006
25660,UNL006
26333,UNL006
26334,UNL006
023857-S,UNL006
023858-C,UNL006
024261-C,UNL006
024262-S,UNL006
0026365-C,UNL007
0026366-S,UNL007
26224,UNL007
26225,UNL007
024135-S,UNL007
024136-C,UNL007
0026413-C,UNL008
0026414-S,UNL008
26087,UNL008
26088,UNL008
023545-S,UNL008
023546-C,UNL008
0026573-S,UNL009
0026574-C,UNL009
25761,UNL009
25762,UNL009
023689-C,UNL009
023690-S,UNL009
0027159-C,UNL010
0027160-S,UNL010
25655,UNL010
25656,UNL010
023863-C,UNL010
023864-S,UNL010
0026928-S,UNL011
0026929-C,UNL011
25790,UNL011
25791,UNL011
024313-S,UNL011
024314-C,UNL011
0026747-C,UNL012
0026748-S,UNL012
26129,UNL012
26130,UNL012
023737-S,UNL012
023738-C,UNL012
024335-C,UNL012
024336-S,UNL012
0026727-S,UNL013
0026728-C,UNL013
25887,UNL013
25888,UNL013
024317-C,UNL013
024318-S,UNL013
0027065-C,UNL014
0027066-S,UNL014
25889,UNL014
25890,UNL014
023697-C,UNL014
023698-S,UNL014
024357-C,UNL014
024358-S,UNL014
0026823-S,UNL015
0026824-C,UNL015
25703,UNL015
25704,UNL015
024201-S,UNL015
024202-C,UNL015
0026753-S,UNL016
0026754-C,UNL016
25564,UNL016
25565,UNL016
023861-C,UNL016
023862-S,UNL016
0026545-S,UNL017
0026546-C,UNL017
25733,UNL017
25734,UNL017
023923-S,UNL017
023924-C,UNL017
0026371-C,UNL018
0026372-S,UNL018
