seed,area (cm^2),length (cm),width (cm)
0,0.0481471111111,0.544406692505,0.305646718343
1,0.0517983611111,0.53602038269,0.309878049215
2,0.05591175,0.559710538737,0.319160751343
3,0.0491313611111,0.525659871674,0.297733247884
4,0.0523733888889,0.539416396332,0.31893511912
5,0.0495370555556,0.541188930257,0.29099570694
6,0.0484963611111,0.54403074646,0.282915773773
7,0.0540808333333,0.578919702148,0.307199918111
8,0.0520488333333,0.547556952413,0.305991335551
9,0.0512903611111,0.543511204529,0.306561681875
10,0.0539009166667,0.548413101705,0.3152679334
11,0.0553966944444,0.545984955343,0.333723880514
12,0.05559425,0.580994769287,0.309239134725
13,0.0535869444444,0.555398140462,0.31726664861
14,0.0408763611111,0.51116514918,0.257475740687
15,0.0533541111111,0.545981919352,0.312763241323
16,0.0536363333333,0.565903636169,0.317112297567
17,0.0466372222222,0.557704847209,0.286484160614
18,0.0455400833333,0.524933333333,0.283633333333
19,0.0499674444444,0.514161768595,0.323044784292
20,0.0436985833333,0.484851316071,0.285597360738
21,0.0523875,0.547135983276,0.314271902466
22,0.0489443888889,0.529720896403,0.312899247233
23,0.0544935833333,0.55631533254,0.315920800527
24,0.0537033611111,0.53761802419,0.315506323242
25,0.0539044444444,0.541818607585,0.323319541423
26,0.0480448055556,0.539814111074,0.28299722875
27,0.0516643055556,0.531977832286,0.315054832713
28,0.0548251944444,0.550283594767,0.323503121948
29,0.0532341666667,0.547135983276,0.323737926737
30,0.0534599444444,0.546767917887,0.309553133647
31,0.0503378611111,0.537375435638,0.29400818456
32,0.0527649722222,0.541144843801,0.340341338348
33,0.0526873611111,0.555987122599,0.293789948527
34,0.0536575,0.55342842865,0.32165371933
35,0.0506553611111,0.557632177226,0.304021623739
36,0.0535163888889,0.541760600789,0.314182017771
37,0.0501015,0.532033901215,0.303554113515
38,0.05229225,0.542966147359,0.306035486603
39,0.0562010277778,0.564054911804,0.33922803421
40,0.0497205,0.54279232076,0.298833309937
41,0.0550827222222,0.545242817179,0.321844728343
42,0.0525850555556,0.565119640096,0.307259701284
43,0.0472475277778,0.53124948527,0.298472382355
44,0.0441854166667,0.510596514638,0.286980932617
45,0.0503696111111,0.540833783976,0.297190806834
46,0.04848225,0.500430242411,0.306172106171
47,0.0477590555556,0.48519257431,0.315478644053
48,0.0563985833333,0.558813952637,0.331607213847
49,0.0539961666667,0.553283088684,0.335020571391
50,0.0536186944444,0.56228163503,0.318058299255
51,0.053467,0.558854841614,0.32636841863
52,0.0467889166667,0.51737914327,0.294530084229
